GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Tingeso,tingeso.mingeso.pep1,Pep1Application,0,3,0,0,0,1,0,1,0,1
Tingeso,tingeso.mingeso.pep1.entities,SubirDataEntity,179,88,40,10,1,7,28,13,4,12
Tingeso,tingeso.mingeso.pep1.entities,ReporteEntity,1014,63,186,0,44,2,128,16,35,16
Tingeso,tingeso.mingeso.pep1.entities,SubirDataPorcentajeEntity,147,34,33,1,1,5,21,8,4,8
Tingeso,tingeso.mingeso.pep1.entities,ProveedorEntity,189,35,40,2,2,5,26,9,5,9
Tingeso,tingeso.mingeso.pep1.controllers,ProveedorController,23,3,0,0,6,1,3,1,3,1
Tingeso,tingeso.mingeso.pep1.controllers,SubirDataPorcentajesController,32,3,0,0,9,1,3,1,3,1
Tingeso,tingeso.mingeso.pep1.controllers,HomeController,2,3,0,0,1,1,1,1,1,1
Tingeso,tingeso.mingeso.pep1.controllers,ReportController,22,3,0,0,7,1,3,1,3,1
Tingeso,tingeso.mingeso.pep1.controllers,SubirDataController,56,3,2,0,14,1,4,1,3,1
Tingeso,tingeso.mingeso.pep1.services,SubirDataService,36,7,0,0,12,2,4,1,4,1
Tingeso,tingeso.mingeso.pep1.services,SubirDataPorcentajeService,5,34,0,0,1,11,1,3,1,3
Tingeso,tingeso.mingeso.pep1.services,AdministracionService,6,15,3,2,3,4,3,3,0,2
Tingeso,tingeso.mingeso.pep1.services,CalcularReporte,110,445,16,32,20,96,14,12,0,2
Tingeso,tingeso.mingeso.pep1.services,ReporteService,0,15,0,0,0,4,0,3,0,3
Tingeso,tingeso.mingeso.pep1.services,ProveedorService,36,8,2,0,10,2,4,2,3,2
